
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                  12488 Console                    5     20,012 K
SECOCL64.exe                 12344 Console                    5      9,572 K
conhost.exe                  12008 Console                    5      5,372 K
SearchHost.exe                4080 Console                    5   2,58,412 K
StartMenuExperienceHost.e    20120 Console                    5     14,392 K
Widgets.exe                  16244 Console                    5     25,616 K
RuntimeBroker.exe             3360 Console                    5     14,596 K
RuntimeBroker.exe             6428 Console                    5     27,076 K
svchost.exe                  15852 Console                    5      9,568 K
dllhost.exe                  10424 Console                    5     13,896 K
RtkAudUService64.exe          5988 Console                    5     11,916 K
SynTPEnh.exe                  3048 Console                    5     21,596 K
ctfmon.exe                    9732 Console                    5     31,984 K
WidgetService.exe             1880 Console                    5     12,640 K
SecurityHealthSystray.exe    15516 Console                    5      9,912 K
RtkAudUService64.exe         17952 Console                    5     14,548 K
AdskAccessCore.exe           13744 Console                    5     17,824 K
AdskIdentityManager.exe      20272 Console                    5     18,536 K
AppMarket.exe                12376 Console                    5     38,544 K
TextInputHost.exe             8396 Console                    5     58,516 K
syzs_dl_svr.exe               2276 Console                    5      6,248 K
AdskAccessUIHost.exe          6116 Console                    5     31,828 K
conhost.exe                   7140 Console                    5      5,804 K
RuntimeBroker.exe             9500 Console                    5      5,936 K
AdskAccessUIHost.exe         12556 Console                    5     17,548 K
AdskAccessUIHost.exe         13140 Console                    5     14,684 K
AdskAccessUIHost.exe         13344 Console                    5     18,108 K
cef_frame_render.exe         19024 Console                    5     49,296 K
cef_frame_render.exe          6588 Console                    5     18,872 K
cef_frame_render.exe         13792 Console                    5     88,396 K
OneDrive.exe                  9556 Console                    5     65,304 K
steam.exe                     4564 Console                    5     33,016 K
steamwebhelper.exe           11308 Console                    5     35,968 K
steamservice.exe             17224 Services                   0     11,076 K
steamwebhelper.exe            6780 Console                    5      9,068 K
steamwebhelper.exe            2800 Console                    5   1,46,776 K
steamwebhelper.exe            9180 Console                    5     22,632 K
steamwebhelper.exe            1628 Console                    5      7,560 K
steamwebhelper.exe            2840 Console                    5     88,844 K
BlueStacksServices.exe       13816 Console                    5     52,728 K
BlueStacksServices.exe        9060 Console                    5     31,956 K
BlueStacksServices.exe        4528 Console                    5     19,720 K
BlueStacksServices.exe       20336 Console                    5     16,968 K
IGCCTray.exe                 11564 Console                    5     23,168 K
IGCC.exe                      7028 Console                    5     15,644 K
RuntimeBroker.exe             8816 Console                    5      5,668 K
DesktopExtension.exe          8684 Console                    5     14,352 K
HP.myHP.exe                  15896 Console                    5     16,048 K
msteams.exe                  16500 Console                    5     18,084 K
RuntimeBroker.exe            17452 Console                    5     10,696 K
ONENOTEM.EXE                  1172 Console                    5      2,244 K
msedgewebview2.exe            4556 Console                    5     40,576 K
msedgewebview2.exe            9128 Console                    5      6,304 K
msedgewebview2.exe           20144 Console                    5     23,148 K
msedgewebview2.exe            5740 Console                    5     18,552 K
msedgewebview2.exe           15060 Console                    5      5,536 K
msedgewebview2.exe           15760 Console                    5     67,740 K
CCXProcess.exe               14036 Console                    5      1,940 K
node.exe                     16588 Console                    5     31,032 K
conhost.exe                   9988 Console                    5      5,536 K
HPSystemEventUtilityBackg     1100 Console                    5     17,420 K
AdobeIPCBroker.exe           17316 Console                    5      8,348 K
unsecapp.exe                 16528 Console                    5      7,168 K
steamwebhelper.exe            3740 Console                    5     74,560 K
steamwebhelper.exe           11972 Console                    5     11,532 K
ExpressVPNNotificationSer    14844 Console                    5     21,044 K
HPAudioSwitch.exe            10176 Console                    5     19,440 K
svchost.exe                  16872 Console                    5     12,580 K
WhatsApp.exe                  6468 Console                    5      2,312 K
RuntimeBroker.exe             2692 Console                    5     18,716 K
BridgeCommunication.exe      16256 Console                    5     13,220 K
FileCoAuth.exe               10972 Console                    5     25,872 K
msedgewebview2.exe            6956 Console                    5     14,240 K
msedgewebview2.exe           16328 Console                    5      6,580 K
msedgewebview2.exe           12884 Console                    5     29,528 K
msedgewebview2.exe            5728 Console                    5      6,440 K
msedgewebview2.exe            6940 Console                    5         20 K
msedgewebview2.exe           20436 Console                    5      1,540 K
LocationNotificationWindo    20396 Console                    5      7,024 K
ShellExperienceHost.exe      18772 Console                    5     32,468 K
RuntimeBroker.exe            19956 Console                    5     19,372 K
svchost.exe                   4208 Console                    5     13,316 K
ApplicationFrameHost.exe      2636 Console                    5     36,844 K
SystemSettings.exe            8556 Console                    5      1,056 K
svchost.exe                   5372 Console                    5      8,796 K
UserOOBEBroker.exe            3212 Console                    5      8,520 K
LockApp.exe                    864 Console                    5     68,524 K
RuntimeBroker.exe            16664 Console                    5     31,684 K
svchost.exe                   2976 Services                   0     17,248 K
msedge.exe                   10448 Console                    5     52,092 K
msedge.exe                    9064 Console                    5      7,348 K
msedge.exe                    9680 Console                    5     37,664 K
msedge.exe                   20264 Console                    5     25,624 K
msedge.exe                   19136 Console                    5     16,808 K
msedge.exe                   17108 Console                    5     16,864 K
msedge.exe                   17808 Console                    5     15,812 K
msedge.exe                    2736 Console                    5     13,444 K
msedge.exe                   15556 Console                    5     14,008 K
RuntimeBroker.exe            15120 Console                    5     19,284 K
svchost.exe                  14824 Services                   0      6,432 K
pycharm64.exe                21096 Console                    5  10,12,840 K
fsnotifier.exe               19556 Console                    5      2,576 K
conhost.exe                  17036 Console                    5      6,056 K
HPSystemEventUtilityHost.    13832 Console                    5     19,492 K
dasHost.exe                  17468 Services                   0      7,312 K
svchost.exe                  20516 Services                   0     20,404 K
POWERPNT.EXE                 11748 Console                    5   1,56,440 K
ai.exe                       21012 Console                    5     38,964 K
POWERPNT.EXE                 13264 Console                    5   1,52,764 K
python.exe                   13612 Console                    5      3,708 K
conhost.exe                  14876 Console                    5     10,444 K
python.exe                   21168 Console                    5   2,26,836 K
python.exe                   18596 Console                    5     28,700 K
cmd.exe                      18296 Console                    5      3,668 K
python.exe                   13056 Console                    5      3,688 K
python.exe                   20180 Console                    5     48,792 K
explorer.exe                  2308 Console                    5   2,33,084 K
LogonUI.exe                  20620 Console                    5   1,10,792 K
svchost.exe                  13952 Services                   0      7,552 K
svchost.exe                  15604 Services                   0      8,864 K
svchost.exe                  19264 Services                   0     11,168 K
svchost.exe                  10652 Services                   0     11,172 K
MoUsoCoreWorker.exe           7136 Services                   0     33,232 K
wermgr.exe                   18436 Services                   0      4,304 K
OneDriveStandaloneUpdater    12132 Services                   0      1,656 K
updater.exe                  20380 Services                   0      2,568 K
MicrosoftEdgeUpdate.exe      13980 Services                   0     11,136 K
backgroundTaskHost.exe       21244 Console                    5     10,704 K
cmd.exe                      20716 Console                    5      3,908 K
taskhostw.exe                14436 Services                   0      1,672 K
svchost.exe                  16944 Services                   0      8,256 K
tasklist.exe                  3400 Console                    5      9,244 K
backgroundTaskHost.exe        1336 Console                    5     10,876 K
AtBroker.exe                 20904 Console                    5     14,664 K
ctfmon.exe                    6756 Console                    5     12,816 K
backgroundTaskHost.exe        5824 Console                    5      1,620 K
